Symbol,Signals,Wins,Losses,Expired,Win_Rate_Resolved,Expectancy_R,Avg_RR
AUDUSDm,1,1,0,0,100.0,1.25,1.25
NZDCADm,1,1,0,0,100.0,1.25,1.25
GBPCHFm,3,2,1,0,66.67,0.3333,0.67
EURGBP.m,2,1,1,0,50.0,0.125,1.25
AUDJPYm,3,0,1,2,0.0,-0.3333,1.32
CADCHFm,2,0,1,1,0.0,-0.5,1.25
AUDCADm,1,0,1,0,0.0,-1.0,1.25
AUDCHFm,1,0,1,0,0.0,-1.0,1.25
EURAUD.m,1,0,1,0,0.0,-1.0,1.26
EURCADm,1,0,1,0,0.0,-1.0,1.45
EURAUDm,1,0,1,0,0.0,-1.0,1.25
GBPCADm,1,0,1,0,0.0,-1.0,1.25
EURJPYm,3,0,3,0,0.0,-1.0,1.31
GBPUSDm,1,0,1,0,0.0,-1.0,1.81
NZDCHF.m,1,0,1,0,0.0,-1.0,1.25
USDCADm,1,0,1,0,0.0,-1.0,1.25
XAUUSDm,2,0,2,0,0.0,-1.0,1.99
